X,Y,OBJECTID_1,OBJECTID,CODIGO,CENTRO,DIRECCION,DISTRITO,TX_DISTRIT,ARCOS,CAPACIDAD,MODELO,TITULAR,ESTADO,OBSERVACIO,FOTO,FECHA_FOTO,FUENTE_FOT,FUENTE,ID_INFORMO,ID_OBRAS,CODIGO_GEN,ELIMINADO,enplanos,CMUN,CPROV,ESTACION,SENALIZ,LOCAL_ID,Count_
443963.6653,4473546.7412,204,158,PBI_14013,"Metro ""La Estrella""","Camino de Vinateros, 10",14,MORATALAZ,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_14013.jpg,2011/01/13 00:00:00+00,Central de Movilidad,INFORMOMADRID,158,531,0,0,1,079,28,,,,1
439422.5677,4475758.2883,205,159,PBI_01012,Corte Inglés de Arguelles,"Serrano Jover, 5",01,CENTRO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_01012.jpg,2011/01/19 00:00:00+00,Central de Movilidad,INFORMOMADRID,159,16,0,0,1,079,28,,,,1
439655.8039,4475729.355,206,160,PBI_01013,Universidad de Comillas - ICADE,"Alberto Aguilera, 23",01,CENTRO,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_01013.jpg,2011/01/19 00:00:00+00,Central de Movilidad,INFORMOMADRID,160,15,0,0,1,079,28,,,,1
446361.3749,4475642.9331,207,161,PBI_15018,"Colegio ""Jesús María""","Hermanos García Noblejas, 68",15,CIUDAD LINEAL,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_15018.jpg,2010/08/11 00:00:00+00,Central de Movilidad,INFORMOMADRID,161,573,1,0,1,079,28,,,,1
446757.0347,4474922.8925,208,162,PBI_15017,"Centro Salud ""Hermanos García Noblejas""","Hermanos García Noblejas, 168",15,CIUDAD LINEAL,4,8,1,AYUNTAMIENTO MADRID,1,Falta 1 arco,PBI_15017.jpg,2010/09/03 00:00:00+00,Central de Movilidad,INFORMOMADRID,162,570,1,0,1,079,28,,,,1
446719.5031,4474994.6923,209,163,PBI_15005,"Centro Salud ""Hermanos García Noblejas""","Hermanos García Noblejas, 168",15,CIUDAD LINEAL,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_15005.jpg,2010/09/03 00:00:00+00,Central de Movilidad,INFORMOMADRID,163,571,0,0,1,079,28,,,,1
441643.9972,4479660.7625,210,164,PBI_05012,Parque Canal Isabel II,"Plaza de Castilla, 9",05,CHAMARTIN,5,10,1,AYUNTAMIENTO MADRID, , ,PBI_05012.jpg,2011/01/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,164,154,0,0,1,079,28,,,,1
441285.1331,4479609.1991,211,165,PBI_06006,"Polideportivo ""Triángulo del Oro""","Bravo Murillo, 378",06,TETUAN,5,5,6, , , ,PBI_06006.jpg,2011/01/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,165,0,0,0,1,079,28,,,,1
440826.1168,4479179.4383,212,166,PBI_06007,"Metro ""Tetuán""","General Margallo, 2",06,TETUAN,3,6,1,AYUNTAMIENTO MADRID, , ,PBI_06007.jpg,2011/01/31 00:00:00+00,Central de Movilidad,INFORMOMADRID,166,208,0,0,1,079,28,,,,1
441895.9623,4471613.3283,213,167,PBI_02013,Planetario,"Av. Planetario, 16",02,ARGANZUELA,5,10,1,AYUNTAMIENTO MADRID,2,Señal Doblada,PBI_02013.jpg,2011/01/06 00:00:00+00,Central de Movilidad,INFORMOMADRID,167,85,0,0,1,079,28,,,,1
